ERCC_00108	254.0590860938	1005	20,17,65,82,49,60,4,31,53,55,49,91,89,16,16,25,40,56,52,48,39,21,19,64,35,32,35,66,8,75,99,49,31,94,113,54,68,82,76,33,97,55,39,50,43,72,31
ERCC_00111	127.0295430469	977	11,1,20,19,11,28,2,1,23,12,17,19,18,11,5,11,16,21,25,12,14,5,2,27,12,11,14,25,4,12,25,13,12,18,31,13,14,27,20,19,18,17,12,22,8,20,16
ERCC_00112	31.7573857617	1114	3,2,6,6,3,2,0,0,12,4,4,2,3,2,3,3,3,4,5,2,4,4,3,1,6,6,4,5,0,5,7,3,1,5,6,3,4,5,2,4,5,4,2,10,8,3,1
ERCC_00113	1016.236344375	827	43,50,157,218,143,176,36,61,172,124,175,186,197,64,68,96,106,197,172,148,124,69,66,195,98,61,197,207,29,155,239,149,94,189,256,130,182,204,145,203,153,148,110,119,135,174,118
ERCC_00116	127.0295430469	1978	4,3,13,12,8,7,2,6,9,4,9,9,11,4,6,7,14,11,9,10,8,1,8,16,6,10,13,12,2,13,10,7,9,14,22,7,15,8,4,15,13,14,8,7,10,14,11
ERCC_00126	3.9696732202	1101	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ERCC_00130	8129.890755	1053	649,453,1065,1556,1131,1104,329,847,1119,1025,1106,1514,1642,866,615,693,821,1476,1070,1396,1429,922,674,1421,789,1042,1379,1578,179,1168,1560,807,741,1344,1895,916,1438,1310,1196,1796,1636,1121,927,1072,904,1438,858
ERCC_00131	31.7573857617	756	7,0,3,5,4,9,3,9,7,7,8,12,8,9,6,8,3,9,6,12,7,1,2,10,7,1,13,14,1,8,13,9,3,7,14,6,6,5,10,12,7,2,7,8,3,8,6
ERCC_00134	0.4962091532	257	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC_00136	508.1181721875	1027	34,41,97,142,98,106,22,54,104,106,120,146,139,52,50,55,76,115,106,81,86,37,43,113,51,49,96,148,16,101,143,80,70,110,181,94,141,114,101,133,160,105,86,87,88,128,77
ERCC_00143	0.9924183064	765	0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0
ERCC_00144	7.9393464404	519	2,0,4,2,2,1,2,0,1,10,1,2,0,2,0,0,3,1,1,2,4,0,1,5,2,3,4,1,0,1,5,0,0,2,4,0,0,1,2,5,0,1,0,2,1,3,1
ERCC_00145	254.0590860938	1025	11,12,28,54,33,36,5,17,36,28,29,45,59,19,10,20,17,54,35,24,34,15,14,43,16,25,36,39,6,31,38,14,25,34,50,21,37,39,31,56,50,20,25,37,22,39,29
ERCC_00148	3.9696732202	475	0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,1,0,2,0,0,1,1,1,2,1,0,0,2,0,5,2,0,1,2,0,1,0
ERCC_00150	0.9924183064	724	0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0
ERCC_00154	1.9848366101	519	0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
ERCC_00157	1.9848366101	1001	0,1,1,1,0,3,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0
ERCC_00160	1.9848366101	725	0,0,0,3,2,0,0,0,0,2,0,3,1,0,3,0,1,2,0,2,1,0,1,0,1,0,0,1,0,1,2,1,0,2,2,1,0,1,2,2,3,1,3,1,0,1,0
ERCC_00162	15.8786928809	505	1,3,5,8,3,6,0,0,4,5,8,4,8,0,1,3,0,4,5,2,3,2,0,2,0,0,3,8,4,8,3,3,0,5,4,2,5,5,1,1,8,3,5,5,3,2,0
ERCC_00163	3.9696732202	528	3,0,0,1,0,0,0,0,1,1,3,2,0,3,0,1,2,0,4,0,0,2,0,0,0,1,1,0,0,1,4,0,2,4,4,1,1,0,0,2,1,2,1,0,3,2,1
ERCC_00165	15.8786928809	854	1,1,1,2,5,3,1,1,2,6,2,3,4,0,0,2,2,3,0,2,0,1,1,2,2,2,1,3,0,6,2,1,0,2,7,0,1,0,2,5,0,4,2,3,2,3,1
ERCC_00170	3.9696732202	1007	0,0,1,4,0,2,0,1,2,0,3,0,2,0,0,0,0,1,1,1,1,0,0,2,1,0,0,0,0,2,5,0,2,1,2,2,1,3,0,3,2,1,1,2,3,0,0
ERCC_00171	1016.236344375	513	81,63,176,311,220,197,50,106,274,214,235,290,271,149,72,115,156,231,201,213,205,109,90,303,140,121,198,259,45,236,312,162,140,210,373,183,309,260,262,315,326,239,199,259,182,338,155
